time,ax,ay,az
2020-08-12 20:15:33.7130,0.01,-0.0,-0.01
2020-08-12 20:15:33.8120,-0.0,0.0,-0.0
2020-08-12 20:15:33.9110,0.0,0.0,0.0
2020-08-12 20:15:34.0110,-0.0,-0.0,-0.0
2020-08-12 20:15:34.1100,0.0,-0.01,0.0
2020-08-12 20:15:34.2090,-0.01,-0.0,-0.0
2020-08-12 20:15:34.3090,0.0,-0.0,-0.0
2020-08-12 20:15:34.4080,-0.01,0.01,-0.0
2020-08-12 20:15:34.5070,0.0,-0.01,0.0
2020-08-12 20:15:34.6060,-0.0,0.01,0.0
2020-08-12 20:15:34.7060,0.0,-0.0,0.0
2020-08-12 20:15:34.8050,-0.0,-0.01,0.0
2020-08-12 20:15:34.9040,-0.01,0.0,-0.01
2020-08-12 20:15:35.0030,0.0,-0.0,-0.01
2020-08-12 20:15:35.1030,0.0,-0.01,-0.01
2020-08-12 20:15:35.2020,0.03,-0.01,0.01
2020-08-12 20:15:35.3010,-0.05,0.04,0.02
2020-08-12 20:15:35.4000,0.01,-0.01,0.01
2020-08-12 20:15:35.5000,0.01,-0.03,0.02
2020-08-12 20:15:35.5990,0.0,0.0,0.01
2020-08-12 20:15:35.6980,-0.0,-0.04,-0.04
2020-08-12 20:15:35.7980,0.02,0.02,0.01
2020-08-12 20:15:35.8970,0.04,-0.02,-0.03
2020-08-12 20:15:35.9960,0.06,0.01,-0.01
2020-08-12 20:15:36.0960,-0.03,0.0,-0.01
2020-08-12 20:15:36.1950,-0.01,-0.02,-0.01
2020-08-12 20:15:36.2940,0.03,0.03,-0.01
2020-08-12 20:15:36.3930,0.06,0.01,-0.09
2020-08-12 20:15:36.4920,-0.36,0.07,0.19
2020-08-12 20:15:36.5920,-0.03,-0.11,0.03
2020-08-12 20:15:36.6910,0.05,0.0,-0.03
2020-08-12 20:15:36.7900,-0.08,0.0,-0.03
2020-08-12 20:15:36.8900,-0.01,0.04,0.03
2020-08-12 20:15:36.9890,-0.0,-0.01,0.05
2020-08-12 20:15:37.0880,0.06,-0.02,-0.0
2020-08-12 20:15:37.1870,0.0,0.03,0.04
2020-08-12 20:15:37.2870,-0.01,-0.05,0.02
2020-08-12 20:15:37.3860,0.05,-0.15,0.03
2020-08-12 20:15:37.4850,0.35,-0.63,0.04
2020-08-12 20:15:37.5850,0.05,-0.29,0.21
2020-08-12 20:15:37.6840,0.39,0.02,0.1
2020-08-12 20:15:37.7830,0.59,0.31,-0.16
2020-08-12 20:15:37.8820,0.31,0.27,-0.1
2020-08-12 20:15:37.9810,-0.24,-0.13,-0.08
2020-08-12 20:15:38.0810,-0.4,-0.22,0.12
2020-08-12 20:15:38.1800,-0.64,-0.09,0.05
2020-08-12 20:15:38.2790,-0.62,0.02,0.02
2020-08-12 20:15:38.3790,-0.68,-0.13,-0.11
2020-08-12 20:15:38.4780,-0.19,0.02,0.06
2020-08-12 20:15:38.5770,-0.01,0.04,0.08
2020-08-12 20:15:38.6760,0.01,-0.03,-0.0
2020-08-12 20:15:38.7760,0.02,-0.02,0.01
2020-08-12 20:15:38.8750,0.06,-0.02,0.0
2020-08-12 20:15:38.9740,0.03,-0.0,0.0
2020-08-12 20:15:39.0730,0.01,0.0,0.0
2020-08-12 20:15:39.1730,0.05,-0.11,-0.04
2020-08-12 20:15:39.2720,0.25,-0.46,0.06
2020-08-12 20:15:39.3710,0.31,-0.34,0.12
2020-08-12 20:15:39.4710,0.51,-0.11,0.06
2020-08-12 20:15:39.5700,0.44,0.17,-0.1
2020-08-12 20:15:39.6690,0.24,0.13,-0.08
2020-08-12 20:15:39.7680,-0.13,-0.03,0.02
2020-08-12 20:15:39.8680,-0.55,-0.33,0.15
2020-08-12 20:15:39.9670,-0.79,-0.1,0.15
2020-08-12 20:15:40.0660,-0.57,0.03,-0.04
2020-08-12 20:15:40.1660,-1.3,-0.48,-0.16
2020-08-12 20:15:40.2650,-0.16,0.16,0.19
2020-08-12 20:15:40.3640,-0.04,-0.01,0.02
2020-08-12 20:15:40.4630,-0.05,0.01,0.01
2020-08-12 20:15:40.5630,-0.01,-0.01,0.02
2020-08-12 20:15:40.6620,0.04,-0.01,0.03
2020-08-12 20:15:40.7610,0.03,-0.01,-0.05
2020-08-12 20:15:40.8600,0.01,-0.01,-0.01
2020-08-12 20:15:40.9600,0.03,0.05,0.03
2020-08-12 20:15:41.0590,0.07,-0.11,-0.04
2020-08-12 20:15:41.1580,0.05,-0.4,-0.01
2020-08-12 20:15:41.2580,0.46,-0.17,0.01
2020-08-12 20:15:41.3570,0.08,-0.09,0.21
2020-08-12 20:15:41.4560,0.48,0.08,-0.02
2020-08-12 20:15:41.5550,0.31,0.14,0.03
2020-08-12 20:15:41.6550,0.15,0.07,-0.06
2020-08-12 20:15:41.7540,-0.18,-0.04,-0.02
2020-08-12 20:15:41.8530,-0.47,-0.22,-0.01
2020-08-12 20:15:41.9530,-0.72,-0.09,0.12
2020-08-12 20:15:42.0520,0.71,0.07,-0.13
2020-08-12 20:15:42.1510,0.07,0.01,0.04
2020-08-12 20:15:42.2500,0.0,-0.01,0.0
2020-08-12 20:15:42.3490,0.04,-0.02,0.0
2020-08-12 20:15:42.4490,0.02,-0.01,0.02
2020-08-12 20:15:42.5480,-0.0,0.02,-0.03
2020-08-12 20:15:42.6470,0.02,-0.01,-0.01
2020-08-12 20:15:42.7470,0.02,-0.01,0.01
2020-08-12 20:15:42.8460,-0.02,-0.04,0.01
2020-08-12 20:15:42.9450,0.01,-0.1,-0.02
2020-08-12 20:15:43.0440,0.17,-0.39,0.08
2020-08-12 20:15:43.1440,0.26,-0.36,0.02
2020-08-12 20:15:43.2430,0.27,-0.1,0.19
2020-08-12 20:15:43.3420,0.51,0.2,-0.05
2020-08-12 20:15:43.4410,0.34,0.15,-0.09
2020-08-12 20:15:43.5410,-0.07,0.01,-0.07
2020-08-12 20:15:43.6400,-0.54,-0.3,0.05
2020-08-12 20:15:43.7390,-0.5,-0.13,0.18
2020-08-12 20:15:43.8390,-0.47,0.01,-0.01
2020-08-12 20:15:43.9380,0.97,-0.25,0.07
2020-08-12 20:15:44.0370,0.58,-0.08,-0.04
2020-08-12 20:15:44.1360,0.16,0.01,-0.03
2020-08-12 20:15:44.2360,0.03,-0.0,0.05
2020-08-12 20:15:44.3350,0.03,-0.02,0.03
2020-08-12 20:15:44.4340,0.01,-0.01,0.0
2020-08-12 20:15:44.5340,0.06,-0.0,-0.04
2020-08-12 20:15:44.6330,0.0,-0.01,-0.02
2020-08-12 20:15:44.7320,0.03,0.0,0.0
2020-08-12 20:15:44.8310,0.06,-0.04,0.01
2020-08-12 20:15:44.9310,0.09,-0.21,0.01
2020-08-12 20:15:45.0300,0.2,-0.46,-0.02
2020-08-12 20:15:45.1290,0.08,-0.1,0.09
2020-08-12 20:15:45.2280,0.42,0.13,0.05
2020-08-12 20:15:45.3280,0.45,0.14,-0.09
2020-08-12 20:15:45.4270,0.2,0.06,0.04
2020-08-12 20:15:45.5260,-0.07,-0.2,0.01
2020-08-12 20:15:45.6250,-0.23,-0.14,0.07
2020-08-12 20:15:45.7250,-0.42,-0.09,0.14
2020-08-12 20:15:45.8240,-0.57,0.02,0.03
2020-08-12 20:15:45.9230,-0.28,0.14,-0.03
2020-08-12 20:15:46.0220,-0.5,0.11,-0.11
2020-08-12 20:15:46.1220,-0.41,-0.05,0.08
2020-08-12 20:15:46.2210,-0.0,-0.04,-0.01
2020-08-12 20:15:46.3200,0.05,0.03,0.03
2020-08-12 20:15:46.4200,-0.09,-0.07,0.03
2020-08-12 20:15:46.5190,-0.01,-0.01,0.02
2020-08-12 20:15:46.6180,-0.0,0.0,-0.05
2020-08-12 20:15:46.7180,0.0,0.03,0.06
2020-08-12 20:15:46.8170,-0.02,-0.05,0.01
2020-08-12 20:15:46.9160,0.13,-0.24,0.1
2020-08-12 20:15:47.0150,0.14,-0.33,-0.1
2020-08-12 20:15:47.1140,0.11,-0.12,0.08
2020-08-12 20:15:47.2140,0.58,0.04,0.01
2020-08-12 20:15:47.3130,0.45,0.16,-0.04
2020-08-12 20:15:47.4120,0.06,-0.04,0.04
2020-08-12 20:15:47.5110,-0.07,-0.18,-0.09
2020-08-12 20:15:47.6110,-0.39,-0.13,0.07
2020-08-12 20:15:47.7100,-0.45,-0.07,0.05
2020-08-12 20:15:47.8090,-0.54,0.01,0.12
2020-08-12 20:15:47.9090,0.5,-0.2,-0.29
2020-08-12 20:15:48.0080,0.4,-0.04,0.24
2020-08-12 20:15:48.1070,0.13,-0.02,-0.01
2020-08-12 20:15:48.2060,-0.02,-0.01,0.04
2020-08-12 20:15:48.3060,-0.02,0.01,0.06
2020-08-12 20:15:48.4050,0.01,-0.0,-0.02
2020-08-12 20:15:48.5040,0.01,0.01,-0.03
2020-08-12 20:15:48.6040,0.04,0.01,-0.01
2020-08-12 20:15:48.7030,0.03,0.01,0.09
2020-08-12 20:15:48.8020,-0.03,-0.07,0.03
2020-08-12 20:15:48.9010,0.15,-0.3,0.12
2020-08-12 20:15:49.0010,0.22,-0.39,-0.12
2020-08-12 20:15:49.1000,0.06,-0.12,0.13
2020-08-12 20:15:49.1990,0.51,0.13,-0.15
2020-08-12 20:15:49.2980,0.32,0.21,-0.04
2020-08-12 20:15:49.3980,0.13,0.07,-0.05
2020-08-12 20:15:49.4970,-0.22,-0.1,0.06
2020-08-12 20:15:49.5960,-0.24,-0.09,0.14
2020-08-12 20:15:49.6950,-0.36,-0.07,0.08
2020-08-12 20:15:49.7950,-0.52,-0.01,0.06
2020-08-12 20:15:49.8940,0.5,-0.19,-0.27
2020-08-12 20:15:49.9930,0.08,0.05,0.19
2020-08-12 20:15:50.0930,0.0,-0.02,0.06
2020-08-12 20:15:50.1920,-0.0,-0.03,0.02
2020-08-12 20:15:50.2910,-0.01,0.01,0.03
2020-08-12 20:15:50.3900,0.01,-0.01,0.01
2020-08-12 20:15:50.4900,0.05,0.04,-0.03
2020-08-12 20:15:50.5890,-0.02,-0.02,0.06
2020-08-12 20:15:50.6880,-0.01,-0.08,0.03
2020-08-12 20:15:50.7870,0.15,-0.29,0.06
2020-08-12 20:15:50.8870,0.17,-0.37,-0.1
2020-08-12 20:15:50.9860,0.07,-0.05,0.09
2020-08-12 20:15:51.0850,0.52,0.17,-0.11
2020-08-12 20:15:51.1850,0.43,0.12,-0.07
2020-08-12 20:15:51.2840,0.17,-0.01,0.03
2020-08-12 20:15:51.3830,-0.12,-0.22,0.04
2020-08-12 20:15:51.4820,-0.36,-0.16,0.14
2020-08-12 20:15:51.5820,-0.57,-0.07,0.09
2020-08-12 20:15:51.6810,-0.55,0.07,0.03
2020-08-12 20:15:51.7800,-1.01,-0.43,-0.22
2020-08-12 20:15:51.8790,-0.33,0.07,0.17
2020-08-12 20:15:51.9790,-0.13,-0.05,0.07
2020-08-12 20:15:52.0780,0.01,-0.01,0.01
2020-08-12 20:15:52.1770,-0.06,-0.02,0.01
2020-08-12 20:15:52.2770,0.03,-0.01,-0.0
2020-08-12 20:15:52.3760,-0.02,0.03,-0.03
2020-08-12 20:15:52.4750,0.01,-0.0,0.01
2020-08-12 20:15:52.5740,-0.03,-0.09,0.0
2020-08-12 20:15:52.6740,0.17,-0.24,0.06
2020-08-12 20:15:52.7730,0.25,-0.4,-0.07
2020-08-12 20:15:52.8720,0.21,-0.13,0.04
2020-08-12 20:15:52.9710,0.44,0.05,0.09
2020-08-12 20:15:53.0710,0.5,0.19,-0.07
2020-08-12 20:15:53.1700,0.18,0.05,-0.03
2020-08-12 20:15:53.2690,-0.09,-0.11,-0.01
2020-08-12 20:15:53.3690,-0.41,-0.14,0.21
2020-08-12 20:15:53.4680,-0.61,-0.13,0.01
2020-08-12 20:15:53.5670,-0.53,-0.03,-0.08
2020-08-12 20:15:53.6660,-0.45,0.15,-0.09
2020-08-12 20:15:53.7660,-0.39,-0.03,-0.05
2020-08-12 20:15:53.8650,-0.08,-0.04,-0.01
2020-08-12 20:15:53.9640,-0.01,-0.0,-0.03
2020-08-12 20:15:54.0630,-0.0,-0.01,0.02
2020-08-12 20:15:54.1630,0.06,-0.01,-0.0
2020-08-12 20:15:54.2620,-0.02,0.02,0.01
2020-08-12 20:15:54.3610,0.02,0.02,0.04
2020-08-12 20:15:54.4600,-0.0,-0.06,0.02
2020-08-12 20:15:54.5600,0.08,-0.18,-0.0
2020-08-12 20:15:54.6590,0.06,-0.26,-0.06
2020-08-12 20:15:54.7580,0.27,-0.19,0.1
2020-08-12 20:15:54.8580,0.3,0.0,0.23
2020-08-12 20:15:54.9570,0.54,0.16,-0.07
2020-08-12 20:15:55.0560,0.3,0.03,-0.03
2020-08-12 20:15:55.1550,0.0,-0.09,0.0
2020-08-12 20:15:55.2550,-0.45,-0.31,0.17
2020-08-12 20:15:55.3540,-0.75,-0.11,0.1
2020-08-12 20:15:55.4530,-0.72,0.02,-0.11
2020-08-12 20:15:55.5530,-0.39,0.2,-0.12
2020-08-12 20:15:55.6520,-0.32,-0.08,-0.01
2020-08-12 20:15:55.7510,-0.04,-0.01,0.02
2020-08-12 20:15:55.8500,0.01,0.02,0.0
2020-08-12 20:15:55.9500,0.01,-0.02,0.02
2020-08-12 20:15:56.0490,0.02,0.01,-0.03
2020-08-12 20:15:56.1480,-0.04,-0.03,-0.01
2020-08-12 20:15:56.2470,-0.0,-0.03,-0.01
