time,ax,ay,az
2020-08-13 11:56:12.7360,0.01,0.04,0.0
2020-08-13 11:56:12.8260,0.01,0.04,-0.0
2020-08-13 11:56:12.9280,0.02,0.02,0.01
2020-08-13 11:56:13.0190,0.03,0.02,-0.0
2020-08-13 11:56:13.1170,-0.04,0.03,-0.0
2020-08-13 11:56:13.2060,0.01,0.01,-0.0
2020-08-13 11:56:13.3040,-0.06,0.07,-0.02
2020-08-13 11:56:13.4020,0.01,0.02,-0.01
2020-08-13 11:56:13.5020,0.03,0.03,0.0
2020-08-13 11:56:13.5590,0.1,-0.02,-0.04
2020-08-13 11:56:13.6470,0.03,0.08,0.01
2020-08-13 11:56:13.7540,-0.12,0.02,0.07
2020-08-13 11:56:13.8280,-0.01,0.03,-0.03
2020-08-13 11:56:13.9330,0.1,0.07,0.06
2020-08-13 11:56:14.0130,0.01,0.03,0.01
2020-08-13 11:56:14.1110,-0.0,0.04,0.04
2020-08-13 11:56:14.2000,0.01,0.03,0.01
2020-08-13 11:56:14.2960,-0.0,0.04,-0.02
2020-08-13 11:56:14.3940,-0.01,0.05,0.01
2020-08-13 11:56:14.4940,-0.02,0.04,-0.0
2020-08-13 11:56:14.5920,0.0,0.01,-0.01
2020-08-13 11:56:14.6460,0.01,0.03,-0.01
2020-08-13 11:56:14.7440,0.02,0.02,-0.01
2020-08-13 11:56:14.8260,0.05,0.02,0.02
2020-08-13 11:56:14.9190,0.01,0.03,0.07
2020-08-13 11:56:15.0040,0.0,0.01,0.0
2020-08-13 11:56:15.1040,-0.06,0.03,0.01
2020-08-13 11:56:15.2020,0.01,0.03,0.01
2020-08-13 11:56:15.2900,0.01,0.01,-0.02
2020-08-13 11:56:15.3890,0.05,0.01,0.04
2020-08-13 11:56:15.4880,0.04,-0.09,-0.01
2020-08-13 11:56:15.5970,0.07,-0.28,-0.02
2020-08-13 11:56:15.6450,0.21,-0.34,0.14
2020-08-13 11:56:15.7350,0.39,-0.17,0.25
2020-08-13 11:56:15.8390,0.16,-0.07,0.09
2020-08-13 11:56:15.9280,0.65,0.26,0.09
2020-08-13 11:56:16.0060,0.62,0.15,0.03
2020-08-13 11:56:16.1060,0.13,-0.3,0.06
2020-08-13 11:56:16.1970,-0.29,-0.39,0.13
2020-08-13 11:56:16.2810,-0.42,-0.21,0.05
2020-08-13 11:56:16.3790,-0.72,-0.1,-0.05
2020-08-13 11:56:16.4880,-0.89,-0.02,-0.18
2020-08-13 11:56:16.5780,0.74,-0.26,-0.18
2020-08-13 11:56:16.6350,-0.28,-0.06,0.06
2020-08-13 11:56:16.7250,0.13,0.05,-0.2
2020-08-13 11:56:16.8140,-0.07,-0.03,0.03
2020-08-13 11:56:16.9190,0.02,0.01,-0.02
2020-08-13 11:56:16.9960,-0.03,0.04,0.0
2020-08-13 11:56:17.0980,0.02,0.06,0.03
2020-08-13 11:56:17.1790,-0.1,-0.03,-0.0
2020-08-13 11:56:17.2700,0.12,0.06,0.05
2020-08-13 11:56:17.3710,0.05,-0.02,-0.0
2020-08-13 11:56:17.4810,0.03,-0.07,-0.0
2020-08-13 11:56:17.5700,0.14,-0.26,0.05
2020-08-13 11:56:17.6350,0.31,-0.36,0.14
2020-08-13 11:56:17.7180,0.21,-0.2,0.2
2020-08-13 11:56:17.8190,0.88,0.21,-0.09
2020-08-13 11:56:17.9080,0.65,0.28,0.04
2020-08-13 11:56:17.9980,0.23,-0.11,0.02
2020-08-13 11:56:18.1010,0.02,-0.24,0.07
2020-08-13 11:56:18.1900,-0.29,-0.34,0.08
2020-08-13 11:56:18.2800,-0.61,-0.22,-0.02
2020-08-13 11:56:18.3660,-0.71,-0.03,-0.18
2020-08-13 11:56:18.4700,-0.78,0.07,-0.0
2020-08-13 11:56:18.5630,-0.0,-0.42,-0.09
2020-08-13 11:56:18.6620,0.11,0.09,0.2
2020-08-13 11:56:18.7270,0.18,-0.11,-0.23
2020-08-13 11:56:18.8240,-0.04,-0.01,-0.09
2020-08-13 11:56:18.9150,0.01,0.02,0.03
2020-08-13 11:56:19.0150,0.03,0.06,-0.02
2020-08-13 11:56:19.1090,0.08,0.03,0.01
2020-08-13 11:56:19.1860,-0.02,-0.02,-0.06
2020-08-13 11:56:19.2900,0.01,-0.01,0.01
2020-08-13 11:56:19.3660,-0.01,-0.08,-0.02
2020-08-13 11:56:19.4690,0.02,-0.05,-0.04
2020-08-13 11:56:19.5600,0.32,-0.29,0.03
2020-08-13 11:56:19.6610,0.35,-0.4,0.22
2020-08-13 11:56:19.7600,0.11,-0.13,0.18
2020-08-13 11:56:19.8170,0.9,0.22,0.08
2020-08-13 11:56:19.9060,0.6,0.3,0.01
2020-08-13 11:56:20.0060,0.23,-0.17,0.01
2020-08-13 11:56:20.0890,-0.27,-0.36,-0.04
2020-08-13 11:56:20.1840,-0.5,-0.34,0.1
2020-08-13 11:56:20.2670,-0.81,-0.15,-0.01
2020-08-13 11:56:20.3700,-0.64,0.05,-0.09
2020-08-13 11:56:20.4590,0.36,0.1,0.18
2020-08-13 11:56:20.5490,-0.2,-0.05,-0.17
2020-08-13 11:56:20.6460,0.05,0.07,-0.08
2020-08-13 11:56:20.7450,-0.13,0.01,0.05
2020-08-13 11:56:20.8430,-0.05,0.0,-0.0
2020-08-13 11:56:20.9420,-0.03,0.06,0.03
2020-08-13 11:56:20.9990,0.06,0.03,0.02
2020-08-13 11:56:21.1050,0.02,0.02,-0.03
2020-08-13 11:56:21.1790,-0.02,0.0,0.02
2020-08-13 11:56:21.2770,-0.01,-0.02,-0.01
2020-08-13 11:56:21.3600,0.08,-0.15,-0.04
2020-08-13 11:56:21.4500,0.21,-0.35,0.01
2020-08-13 11:56:21.5390,0.31,-0.22,0.18
2020-08-13 11:56:21.6350,0.08,-0.06,0.18
2020-08-13 11:56:21.7350,0.96,0.2,-0.01
2020-08-13 11:56:21.8330,0.68,0.25,-0.03
2020-08-13 11:56:21.9000,0.23,-0.13,-0.03
2020-08-13 11:56:22.0050,-0.13,-0.29,0.04
2020-08-13 11:56:22.0870,-0.34,-0.35,-0.01
2020-08-13 11:56:22.1780,-0.69,-0.15,-0.02
2020-08-13 11:56:22.2760,-0.62,0.03,-0.16
2020-08-13 11:56:22.3560,0.55,-0.02,-0.05
2020-08-13 11:56:22.4550,-0.23,-0.09,-0.11
2020-08-13 11:56:22.5350,-0.11,0.01,-0.05
2020-08-13 11:56:22.6270,-0.12,0.04,0.14
2020-08-13 11:56:22.7250,-0.02,0.02,-0.02
2020-08-13 11:56:22.8180,-0.02,0.03,0.01
2020-08-13 11:56:22.9160,-0.04,0.02,-0.02
2020-08-13 11:56:23.0160,-0.06,0.02,0.0
2020-08-13 11:56:23.0730,-0.01,-0.0,-0.04
2020-08-13 11:56:23.1640,0.09,0.04,0.05
2020-08-13 11:56:23.2610,0.04,-0.06,-0.02
2020-08-13 11:56:23.3410,0.14,-0.26,0.02
2020-08-13 11:56:23.4390,0.31,-0.29,0.05
2020-08-13 11:56:23.5360,0.32,-0.14,0.13
2020-08-13 11:56:23.6260,0.25,0.1,0.11
2020-08-13 11:56:23.7220,0.58,0.29,0.05
2020-08-13 11:56:23.8100,0.4,-0.02,0.01
2020-08-13 11:56:23.9070,-0.08,-0.34,0.02
2020-08-13 11:56:24.0070,-0.32,-0.28,0.17
2020-08-13 11:56:24.1050,-0.6,-0.24,-0.08
2020-08-13 11:56:24.2040,-0.72,-0.04,-0.08
2020-08-13 11:56:24.2700,-0.94,-0.03,-0.15
2020-08-13 11:56:24.3600,0.33,-0.16,0.16
2020-08-13 11:56:24.4500,-0.55,-0.06,0.16
2020-08-13 11:56:24.5290,-0.08,0.01,0.02
2020-08-13 11:56:24.6280,0.0,-0.01,0.01
2020-08-13 11:56:24.7090,-0.04,0.04,-0.03
2020-08-13 11:56:24.8080,-0.03,0.03,-0.04
2020-08-13 11:56:24.9050,-0.02,0.02,0.01
2020-08-13 11:56:25.0000,-0.0,0.01,-0.01
2020-08-13 11:56:25.1020,0.0,0.0,-0.02
2020-08-13 11:56:25.1570,0.01,-0.01,-0.02
2020-08-13 11:56:25.2610,0.06,-0.12,-0.06
2020-08-13 11:56:25.3510,0.21,-0.34,0.07
2020-08-13 11:56:25.4410,0.39,-0.31,-0.02
2020-08-13 11:56:25.5310,0.04,0.0,0.04
2020-08-13 11:56:25.6210,0.89,0.3,-0.03
2020-08-13 11:56:25.7100,0.66,0.24,-0.09
2020-08-13 11:56:25.8100,0.19,-0.26,0.05
2020-08-13 11:56:25.9010,-0.18,-0.31,0.07
2020-08-13 11:56:25.9960,-0.42,-0.25,0.1
2020-08-13 11:56:26.0930,-0.72,-0.11,-0.06
2020-08-13 11:56:26.1920,-0.67,0.04,-0.03
2020-08-13 11:56:26.2890,-0.67,0.04,-0.12
2020-08-13 11:56:26.3440,0.05,-0.46,0.02
2020-08-13 11:56:26.4340,-0.19,0.04,0.16
2020-08-13 11:56:26.5240,-0.05,-0.01,-0.07
2020-08-13 11:56:26.6210,-0.05,-0.0,-0.01
2020-08-13 11:56:26.7050,-0.08,0.05,0.0
2020-08-13 11:56:26.8020,-0.06,0.01,-0.04
2020-08-13 11:56:26.8960,0.05,0.04,0.04
2020-08-13 11:56:26.9900,0.06,0.0,-0.03
2020-08-13 11:56:27.0820,0.01,-0.0,-0.01
2020-08-13 11:56:27.1910,0.03,-0.04,-0.03
2020-08-13 11:56:27.2570,0.02,-0.14,0.01
2020-08-13 11:56:27.3360,0.24,-0.42,0.03
2020-08-13 11:56:27.4260,0.42,-0.27,0.15
2020-08-13 11:56:27.5150,0.16,0.16,0.16
2020-08-13 11:56:27.6040,0.74,0.3,-0.06
2020-08-13 11:56:27.6940,0.41,-0.0,0.03
2020-08-13 11:56:27.7860,0.08,-0.17,0.04
2020-08-13 11:56:27.8770,-0.22,-0.3,0.04
2020-08-13 11:56:27.9750,-0.53,-0.26,0.06
2020-08-13 11:56:28.0740,-0.94,-0.13,0.01
2020-08-13 11:56:28.1830,-0.74,0.02,-0.05
2020-08-13 11:56:28.2470,0.33,-0.4,-0.33
2020-08-13 11:56:28.3360,-0.91,-0.22,0.1
2020-08-13 11:56:28.4270,0.02,-0.02,-0.12
2020-08-13 11:56:28.5160,0.05,0.01,-0.04
2020-08-13 11:56:28.6070,-0.04,0.03,-0.0
2020-08-13 11:56:28.7110,-0.0,0.03,0.01
2020-08-13 11:56:28.7940,-0.03,0.03,-0.01
2020-08-13 11:56:28.8920,0.02,0.03,-0.02
2020-08-13 11:56:28.9820,-0.03,0.0,-0.02
2020-08-13 11:56:29.0720,0.02,-0.06,-0.01
2020-08-13 11:56:29.1730,0.17,-0.29,0.03
2020-08-13 11:56:29.2660,0.32,-0.32,0.02
2020-08-13 11:56:29.3650,0.15,-0.16,0.08
2020-08-13 11:56:29.4290,0.37,0.1,0.2
2020-08-13 11:56:29.5180,0.63,0.24,-0.02
2020-08-13 11:56:29.6000,0.36,-0.06,-0.01
2020-08-13 11:56:29.6960,0.02,-0.18,0.12
2020-08-13 11:56:29.7910,-0.22,-0.21,0.08
2020-08-13 11:56:29.8820,-0.5,-0.25,-0.09
2020-08-13 11:56:29.9720,-1.01,-0.11,0.0
2020-08-13 11:56:30.0610,-0.53,-0.25,-0.27
2020-08-13 11:56:30.1600,0.17,-0.24,-0.13
2020-08-13 11:56:30.2580,-0.38,-0.01,0.04
2020-08-13 11:56:30.3570,-0.14,0.03,0.08
2020-08-13 11:56:30.4560,-0.05,0.03,-0.0
2020-08-13 11:56:30.5270,0.01,0.05,0.03
2020-08-13 11:56:30.6100,-0.07,-0.01,-0.04
2020-08-13 11:56:30.6970,-0.03,-0.01,-0.01
2020-08-13 11:56:30.7900,0.02,0.02,-0.02
2020-08-13 11:56:30.8800,-0.01,-0.01,-0.01
2020-08-13 11:56:30.9770,0.03,-0.04,-0.01
2020-08-13 11:56:31.0580,0.06,-0.26,-0.05
2020-08-13 11:56:31.1520,0.33,-0.26,0.05
2020-08-13 11:56:31.2520,0.3,-0.27,0.25
2020-08-13 11:56:31.3600,0.14,0.06,0.2
2020-08-13 11:56:31.4500,0.62,0.27,-0.03
2020-08-13 11:56:31.5050,0.37,0.03,-0.04
2020-08-13 11:56:31.5950,0.05,-0.14,0.08
2020-08-13 11:56:31.6970,-0.19,-0.14,0.02
2020-08-13 11:56:31.7870,-0.42,-0.28,-0.04
2020-08-13 11:56:31.8760,-0.89,-0.16,-0.1
2020-08-13 11:56:31.9670,-0.91,-0.06,-0.22
2020-08-13 11:56:32.0570,0.09,-0.38,0.06
2020-08-13 11:56:32.1480,-0.25,0.01,0.09
2020-08-13 11:56:32.2440,-0.05,0.0,-0.09
2020-08-13 11:56:32.3530,-0.16,-0.05,0.03
2020-08-13 11:56:32.4430,-0.09,0.02,-0.01
2020-08-13 11:56:32.5410,-0.04,0.01,-0.06
2020-08-13 11:56:32.5960,0.0,0.0,-0.0
2020-08-13 11:56:32.6860,-0.01,0.01,-0.04
2020-08-13 11:56:32.7760,-0.03,-0.0,-0.04
2020-08-13 11:56:32.8660,0.02,-0.04,-0.02
2020-08-13 11:56:32.9570,0.08,-0.13,-0.03
2020-08-13 11:56:33.0460,0.19,-0.25,-0.04
2020-08-13 11:56:33.1380,0.28,-0.32,0.1
2020-08-13 11:56:33.2350,0.13,-0.2,0.04
2020-08-13 11:56:33.3350,0.87,0.19,-0.0
2020-08-13 11:56:33.4350,0.61,0.23,-0.03
2020-08-13 11:56:33.5320,0.2,-0.12,0.11
2020-08-13 11:56:33.5860,-0.15,-0.25,-0.02
2020-08-13 11:56:33.6790,-0.31,-0.27,0.05
2020-08-13 11:56:33.7670,-0.52,-0.22,-0.09
2020-08-13 11:56:33.8560,-0.73,-0.06,-0.17
2020-08-13 11:56:33.9470,-0.62,0.0,-0.09
2020-08-13 11:56:34.0370,-0.08,-0.3,-0.27
2020-08-13 11:56:34.1290,-0.14,0.08,0.16
2020-08-13 11:56:34.2300,0.02,-0.01,-0.15
2020-08-13 11:56:34.3370,-0.01,-0.0,-0.03
2020-08-13 11:56:34.4260,-0.05,0.0,-0.05
2020-08-13 11:56:34.5290,0.01,0.01,-0.0
2020-08-13 11:56:34.5870,0.01,-0.0,-0.01
2020-08-13 11:56:34.6710,0.01,0.03,-0.01
2020-08-13 11:56:34.7730,0.03,0.02,-0.01
2020-08-13 11:56:34.8660,-0.01,-0.02,-0.05
2020-08-13 11:56:34.9520,0.05,-0.08,-0.01
2020-08-13 11:56:35.0430,0.18,-0.25,0.03
2020-08-13 11:56:35.1330,0.29,-0.3,0.04
2020-08-13 11:56:35.2220,0.12,-0.11,0.11
2020-08-13 11:56:35.3290,0.84,0.2,-0.07
2020-08-13 11:56:35.4270,0.45,0.19,0.0
2020-08-13 11:56:35.5170,0.18,-0.05,-0.05
2020-08-13 11:56:35.6160,-0.04,-0.15,0.04
2020-08-13 11:56:35.6880,-0.3,-0.19,0.1
2020-08-13 11:56:35.7780,-0.52,-0.15,0.03
2020-08-13 11:56:35.8590,-0.92,-0.03,-0.07
2020-08-13 11:56:35.9430,0.02,-0.06,-0.0
2020-08-13 11:56:36.0360,-0.23,-0.02,-0.15
2020-08-13 11:56:36.1240,-0.16,0.06,-0.01
2020-08-13 11:56:36.2130,-0.1,0.05,0.08
2020-08-13 11:56:36.3120,-0.1,-0.01,-0.02
2020-08-13 11:56:36.4090,-0.09,0.02,-0.01
2020-08-13 11:56:36.5060,-0.01,-0.0,-0.01
2020-08-13 11:56:36.6090,0.01,-0.0,-0.02
2020-08-13 11:56:36.6620,-0.02,0.01,-0.01
2020-08-13 11:56:36.7690,-0.01,-0.0,-0.01
2020-08-13 11:56:36.8420,0.12,-0.04,-0.05
2020-08-13 11:56:36.9470,0.09,-0.09,0.06
2020-08-13 11:56:37.0280,0.29,-0.39,0.06
2020-08-13 11:56:37.1130,0.25,-0.34,0.17
2020-08-13 11:56:37.2040,0.34,0.09,0.08
2020-08-13 11:56:37.2940,0.5,0.33,0.06
2020-08-13 11:56:37.3920,0.27,0.03,-0.05
2020-08-13 11:56:37.4930,0.04,-0.15,0.03
2020-08-13 11:56:37.5910,-0.16,-0.16,0.13
2020-08-13 11:56:37.6530,-0.34,-0.21,0.11
2020-08-13 11:56:37.7450,-0.65,-0.1,-0.06
2020-08-13 11:56:37.8480,-0.62,-0.0,-0.17
2020-08-13 11:56:37.9320,0.73,-0.04,0.16
2020-08-13 11:56:38.0280,-0.36,-0.1,-0.18
2020-08-13 11:56:38.1190,-0.12,-0.02,-0.01
2020-08-13 11:56:38.1940,0.0,0.02,0.06
2020-08-13 11:56:38.2850,-0.01,0.02,-0.03
2020-08-13 11:56:38.3840,-0.04,0.04,0.0
2020-08-13 11:56:38.4830,-0.02,0.01,-0.01
2020-08-13 11:56:38.5940,-0.03,0.02,-0.05
2020-08-13 11:56:38.6830,-0.02,0.01,-0.02
2020-08-13 11:56:38.7350,-0.02,-0.02,-0.04
2020-08-13 11:56:38.8270,0.06,-0.05,0.04
2020-08-13 11:56:38.9280,0.17,-0.26,-0.02
2020-08-13 11:56:39.0180,0.25,-0.29,0.1
2020-08-13 11:56:39.1080,0.07,-0.1,0.1
2020-08-13 11:56:39.1990,0.48,0.09,0.21
2020-08-13 11:56:39.2870,0.55,0.22,0.04
2020-08-13 11:56:39.3940,0.17,-0.11,0.02
2020-08-13 11:56:39.4740,-0.04,-0.19,-0.04
2020-08-13 11:56:39.5740,-0.3,-0.18,0.04
2020-08-13 11:56:39.6740,-0.55,-0.16,-0.03
2020-08-13 11:56:39.7730,-0.71,-0.03,-0.09
2020-08-13 11:56:39.8730,-0.92,-0.17,-0.25
2020-08-13 11:56:39.9330,-0.07,-0.2,-0.22
2020-08-13 11:56:40.0230,-0.35,0.06,0.12
2020-08-13 11:56:40.1120,-0.15,-0.01,0.03
2020-08-13 11:56:40.1920,-0.03,-0.01,-0.02
2020-08-13 11:56:40.2830,-0.01,0.05,0.0
2020-08-13 11:56:40.3790,0.0,0.03,-0.03
2020-08-13 11:56:40.4730,-0.0,0.0,-0.02
2020-08-13 11:56:40.5650,0.03,0.02,-0.01
2020-08-13 11:56:40.6630,0.04,0.02,0.01
2020-08-13 11:56:40.7630,0.06,0.01,-0.0
2020-08-13 11:56:40.8740,0.03,-0.11,0.02
2020-08-13 11:56:40.9230,0.21,-0.28,-0.05
2020-08-13 11:56:41.0140,0.22,-0.16,0.11
2020-08-13 11:56:41.1030,0.31,-0.38,0.11
2020-08-13 11:56:41.1930,0.19,-0.04,0.03
2020-08-13 11:56:41.2860,0.77,0.33,-0.15
2020-08-13 11:56:41.3730,0.4,0.1,0.05
2020-08-13 11:56:41.4790,0.1,-0.18,-0.0
2020-08-13 11:56:41.5630,-0.19,-0.17,0.02
2020-08-13 11:56:41.6570,-0.45,-0.3,0.1
2020-08-13 11:56:41.7570,-0.89,-0.13,0.03
2020-08-13 11:56:41.8570,0.39,-0.05,-0.27
2020-08-13 11:56:41.9140,-0.07,-0.19,-0.06
2020-08-13 11:56:42.0050,-0.19,0.01,-0.04
2020-08-13 11:56:42.0940,-0.19,0.0,0.02
2020-08-13 11:56:42.1870,-0.03,0.03,-0.01
2020-08-13 11:56:42.2860,-0.03,0.01,0.02
2020-08-13 11:56:42.3760,-0.0,0.01,0.02
2020-08-13 11:56:42.4580,0.04,0.08,0.02
2020-08-13 11:56:42.5540,0.04,-0.0,-0.07
2020-08-13 11:56:42.6490,-0.03,-0.05,-0.05
2020-08-13 11:56:42.7480,0.03,-0.06,0.04
2020-08-13 11:56:42.8510,0.12,-0.21,0.06
2020-08-13 11:56:42.9050,0.26,-0.32,0.07
2020-08-13 11:56:42.9950,0.6,-0.37,0.09
2020-08-13 11:56:43.0850,0.04,0.17,0.08
2020-08-13 11:56:43.1750,0.47,0.29,0.04
2020-08-13 11:56:43.2780,0.27,0.03,-0.02
2020-08-13 11:56:43.3660,0.08,-0.19,-0.03
2020-08-13 11:56:43.4550,-0.24,-0.3,0.03
2020-08-13 11:56:43.5450,-0.55,-0.27,-0.05
2020-08-13 11:56:43.6430,-0.98,-0.05,-0.06
2020-08-13 11:56:43.7400,0.69,0.1,0.16
2020-08-13 11:56:43.8400,-0.21,-0.12,-0.32
2020-08-13 11:56:43.9390,-0.01,0.09,0.09
