time,ax,ay,az
2020-08-12 20:15:34.8380,0.02,0.0,-0.02
2020-08-12 20:15:34.9390,0.02,0.0,-0.01
2020-08-12 20:15:35.0380,-0.01,0.02,-0.0
2020-08-12 20:15:35.1370,-0.0,0.01,0.01
2020-08-12 20:15:35.2360,-0.02,-0.0,-0.02
2020-08-12 20:15:35.3360,-0.05,-0.01,0.02
2020-08-12 20:15:35.4350,-0.04,0.02,-0.0
2020-08-12 20:15:35.5340,0.07,-0.01,-0.03
2020-08-12 20:15:35.6340,0.05,-0.01,0.01
2020-08-12 20:15:35.7310,-0.02,-0.0,0.0
2020-08-12 20:15:35.8320,0.07,-0.02,-0.02
2020-08-12 20:15:35.9310,-0.03,0.0,0.01
2020-08-12 20:15:36.0300,0.01,0.01,0.01
2020-08-12 20:15:36.1300,0.05,0.0,-0.03
2020-08-12 20:15:36.2290,0.03,-0.02,-0.02
2020-08-12 20:15:36.3280,-0.03,-0.0,0.02
2020-08-12 20:15:36.4280,-0.13,-0.06,0.04
2020-08-12 20:15:36.5270,-0.24,-0.32,-0.13
2020-08-12 20:15:36.6260,0.14,-0.87,0.53
2020-08-12 20:15:36.7240,-0.48,-0.03,-0.12
2020-08-12 20:15:36.8230,-0.47,0.92,-0.27
2020-08-12 20:15:36.9220,-0.38,0.72,-0.17
2020-08-12 20:15:37.0220,0.01,0.12,-0.05
2020-08-12 20:15:37.1210,0.02,-0.18,-0.08
2020-08-12 20:15:37.2200,0.36,-0.44,0.17
2020-08-12 20:15:37.3200,0.27,-0.02,0.16
2020-08-12 20:15:37.4190,-0.8,-0.26,0.52
2020-08-12 20:15:37.5180,0.04,-0.12,0.2
2020-08-12 20:15:37.6170,0.06,-0.02,-0.12
2020-08-12 20:15:37.7170,0.06,-0.04,0.03
2020-08-12 20:15:37.8160,-0.01,0.02,0.0
2020-08-12 20:15:37.9150,-0.07,0.05,0.03
2020-08-12 20:15:38.0140,-0.04,-0.0,0.01
2020-08-12 20:15:38.1140,-0.03,0.03,-0.03
2020-08-12 20:15:38.2130,-0.06,0.02,0.01
2020-08-12 20:15:38.3120,-0.12,-0.08,0.01
2020-08-12 20:15:38.4110,-0.36,-0.53,-0.09
2020-08-12 20:15:38.5110,-0.18,-0.45,0.15
2020-08-12 20:15:38.6100,-0.54,-0.21,0.12
2020-08-12 20:15:38.7090,-0.19,0.06,-0.07
2020-08-12 20:15:38.8090,-0.01,0.35,-0.2
2020-08-12 20:15:38.9080,0.32,0.34,-0.12
2020-08-12 20:15:39.0070,0.36,0.28,0.04
2020-08-12 20:15:39.1060,0.26,-0.36,0.13
2020-08-12 20:15:39.2050,0.46,-0.05,0.2
2020-08-12 20:15:39.3050,0.41,-0.37,-0.09
2020-08-12 20:15:39.4040,-0.05,0.05,0.12
2020-08-12 20:15:39.5030,-0.02,0.01,-0.01
2020-08-12 20:15:39.6020,-0.0,-0.0,-0.01
2020-08-12 20:15:39.7010,0.01,-0.0,-0.02
2020-08-12 20:15:39.8010,-0.09,0.02,0.02
2020-08-12 20:15:39.9000,-0.09,-0.01,0.06
2020-08-12 20:15:39.9990,-0.09,-0.01,0.03
2020-08-12 20:15:40.0990,-0.11,-0.02,0.02
2020-08-12 20:15:40.1980,-0.31,-0.29,0.01
2020-08-12 20:15:40.2970,-0.26,-0.36,0.34
2020-08-12 20:15:40.3960,-0.45,-0.01,-0.08
2020-08-12 20:15:40.4960,-0.32,-0.07,-0.04
2020-08-12 20:15:40.5950,-0.07,-0.0,-0.05
2020-08-12 20:15:40.6940,0.14,0.23,-0.13
2020-08-12 20:15:40.7930,0.25,0.42,-0.14
2020-08-12 20:15:40.8930,0.41,0.18,-0.02
2020-08-12 20:15:40.9920,0.31,-0.21,0.25
2020-08-12 20:15:41.0910,-0.15,-0.48,-0.27
2020-08-12 20:15:41.1900,0.88,-0.15,-0.3
2020-08-12 20:15:41.2900,-0.03,0.05,-0.08
2020-08-12 20:15:41.3890,-0.03,-0.01,0.06
2020-08-12 20:15:41.4880,0.05,-0.01,-0.0
2020-08-12 20:15:41.5870,0.01,-0.02,-0.01
2020-08-12 20:15:41.6870,-0.02,0.02,0.03
2020-08-12 20:15:41.7860,0.01,0.01,-0.01
2020-08-12 20:15:41.8850,0.02,-0.03,-0.04
2020-08-12 20:15:41.9840,-0.07,-0.03,0.03
2020-08-12 20:15:42.0840,-0.2,-0.06,-0.07
2020-08-12 20:15:42.1830,-0.43,-0.64,-0.17
2020-08-12 20:15:42.2820,0.1,-0.44,0.2
2020-08-12 20:15:42.3820,-0.3,0.04,-0.01
2020-08-12 20:15:42.4810,-0.33,0.6,-0.21
2020-08-12 20:15:42.5800,-0.16,0.61,-0.13
2020-08-12 20:15:42.6790,0.35,0.23,-0.07
2020-08-12 20:15:42.7780,0.2,-0.1,-0.0
2020-08-12 20:15:42.8780,0.17,-0.2,-0.01
2020-08-12 20:15:42.9770,0.19,0.04,0.06
2020-08-12 20:15:43.0760,-0.01,-0.65,-0.12
2020-08-12 20:15:43.1750,0.02,-0.05,0.16
2020-08-12 20:15:43.2750,0.1,-0.01,-0.01
2020-08-12 20:15:43.3740,0.06,0.01,-0.04
2020-08-12 20:15:43.4730,-0.05,0.01,0.01
2020-08-12 20:15:43.5720,-0.05,0.04,0.0
2020-08-12 20:15:43.6720,-0.03,0.0,-0.01
2020-08-12 20:15:43.7710,-0.13,0.0,0.12
2020-08-12 20:15:43.8700,-0.11,0.01,0.04
2020-08-12 20:15:43.9690,-0.28,-0.15,0.1
2020-08-12 20:15:44.0690,-0.61,-0.44,0.03
2020-08-12 20:15:44.1680,-0.01,-0.23,0.11
2020-08-12 20:15:44.2670,-0.26,-0.11,-0.01
2020-08-12 20:15:44.3670,-0.22,0.17,-0.06
2020-08-12 20:15:44.4660,-0.16,0.6,-0.25
2020-08-12 20:15:44.5650,0.0,0.64,-0.27
2020-08-12 20:15:44.6640,0.37,0.06,0.02
2020-08-12 20:15:44.7640,0.18,-0.39,0.17
2020-08-12 20:15:44.8630,0.31,-0.28,0.19
2020-08-12 20:15:44.9620,-0.74,-0.33,0.23
2020-08-12 20:15:45.0610,0.03,-0.03,0.19
2020-08-12 20:15:45.1610,0.05,-0.04,-0.13
2020-08-12 20:15:45.2600,0.03,0.03,0.03
2020-08-12 20:15:45.3590,0.04,0.0,0.01
2020-08-12 20:15:45.4580,0.03,-0.01,-0.04
2020-08-12 20:15:45.5580,0.01,0.0,-0.01
2020-08-12 20:15:45.6570,0.05,-0.03,-0.03
2020-08-12 20:15:45.7560,-0.01,-0.01,0.03
2020-08-12 20:15:45.8550,-0.0,-0.01,0.0
2020-08-12 20:15:45.9540,-0.06,-0.08,-0.11
2020-08-12 20:15:46.0540,-0.39,-0.62,-0.2
2020-08-12 20:15:46.1530,0.13,-0.3,0.11
2020-08-12 20:15:46.2520,-0.32,-0.09,0.06
2020-08-12 20:15:46.3510,0.07,0.04,-0.04
2020-08-12 20:15:46.4510,-0.11,0.42,-0.22
2020-08-12 20:15:46.5500,-0.07,0.72,-0.28
2020-08-12 20:15:46.6490,0.35,0.14,0.0
2020-08-12 20:15:46.7490,0.3,-0.43,0.18
2020-08-12 20:15:46.8480,0.47,-0.07,0.12
2020-08-12 20:15:46.9470,-0.79,-0.52,-0.07
2020-08-12 20:15:47.0460,-0.25,-0.09,0.21
2020-08-12 20:15:47.1460,-0.11,0.01,0.03
2020-08-12 20:15:47.2450,-0.02,0.01,-0.0
2020-08-12 20:15:47.3440,-0.01,0.02,0.03
2020-08-12 20:15:47.4430,-0.01,0.01,-0.02
2020-08-12 20:15:47.5430,-0.04,0.02,0.02
2020-08-12 20:15:47.6420,-0.02,0.0,0.01
2020-08-12 20:15:47.7410,-0.02,0.02,-0.01
2020-08-12 20:15:47.8400,-0.06,-0.04,0.02
2020-08-12 20:15:47.9400,-0.19,-0.16,0.04
2020-08-12 20:15:48.0390,-0.31,-0.55,-0.28
2020-08-12 20:15:48.1380,-0.08,-0.27,0.17
2020-08-12 20:15:48.2370,-0.18,-0.29,0.19
2020-08-12 20:15:48.3360,0.11,0.0,0.05
2020-08-12 20:15:48.4360,-0.29,0.66,-0.26
2020-08-12 20:15:48.5350,-0.38,0.89,-0.39
2020-08-12 20:15:48.6340,0.11,0.12,-0.07
2020-08-12 20:15:48.7340,0.25,-0.54,0.13
2020-08-12 20:15:48.8330,0.76,-0.23,0.13
2020-08-12 20:15:48.9320,-0.49,-0.36,0.07
2020-08-12 20:15:49.0310,0.03,-0.19,0.07
2020-08-12 20:15:49.1300,0.07,-0.01,0.03
2020-08-12 20:15:49.2300,0.05,-0.03,-0.03
2020-08-12 20:15:49.3290,-0.01,0.02,0.01
2020-08-12 20:15:49.4280,-0.01,-0.01,0.02
2020-08-12 20:15:49.5280,-0.06,0.0,0.02
2020-08-12 20:15:49.6270,-0.04,0.01,0.01
2020-08-12 20:15:49.7260,-0.06,0.02,0.03
2020-08-12 20:15:49.8250,-0.06,-0.0,-0.02
2020-08-12 20:15:49.9240,-0.21,-0.21,-0.01
2020-08-12 20:15:50.0240,-0.79,-0.53,-0.03
2020-08-12 20:15:50.1220,0.27,-0.7,0.07
2020-08-12 20:15:50.2220,-0.34,0.14,0.0
2020-08-12 20:15:50.3220,-0.41,0.57,-0.23
2020-08-12 20:15:50.4210,-0.18,0.73,-0.29
2020-08-12 20:15:50.5200,0.32,0.07,-0.06
2020-08-12 20:15:50.6190,0.28,-0.33,0.23
2020-08-12 20:15:50.7190,0.61,-0.28,0.1
2020-08-12 20:15:50.8170,-1.15,-0.5,0.16
2020-08-12 20:15:50.9170,-0.23,-0.03,0.23
2020-08-12 20:15:51.0170,-0.1,0.01,0.02
2020-08-12 20:15:51.1160,-0.15,0.02,0.04
2020-08-12 20:15:51.2150,-0.06,0.0,0.03
2020-08-12 20:15:51.3140,-0.02,0.02,0.03
2020-08-12 20:15:51.4140,-0.02,-0.0,0.01
2020-08-12 20:15:51.5130,-0.05,0.01,-0.01
2020-08-12 20:15:51.6120,-0.06,-0.01,0.02
2020-08-12 20:15:51.7110,-0.03,-0.05,0.02
2020-08-12 20:15:51.8100,-0.2,-0.3,-0.05
2020-08-12 20:15:51.9100,-0.27,-0.4,0.31
2020-08-12 20:15:52.0080,-0.54,-0.2,0.01
2020-08-12 20:15:52.1070,-0.04,-0.21,-0.01
2020-08-12 20:15:52.2070,-0.08,0.35,-0.19
2020-08-12 20:15:52.3070,-0.27,0.97,-0.33
2020-08-12 20:15:52.4060,0.28,0.4,-0.13
2020-08-12 20:15:52.5050,0.43,-0.15,0.02
2020-08-12 20:15:52.6040,0.41,-0.45,0.19
2020-08-12 20:15:52.7030,-1.17,-0.55,0.19
2020-08-12 20:15:52.8030,-0.3,0.02,0.16
2020-08-12 20:15:52.9020,-0.05,-0.01,-0.05
2020-08-12 20:15:53.0010,0.02,-0.03,-0.01
2020-08-12 20:15:53.1010,0.02,-0.0,0.06
2020-08-12 20:15:53.2000,0.0,0.02,0.01
2020-08-12 20:15:53.2990,0.01,0.01,-0.0
2020-08-12 20:15:53.3980,0.0,-0.01,0.01
2020-08-12 20:15:53.4980,-0.02,0.0,-0.01
2020-08-12 20:15:53.5970,-0.08,-0.05,0.02
2020-08-12 20:15:53.6960,-0.47,-0.39,-0.12
2020-08-12 20:15:53.7950,-0.06,-0.48,0.2
2020-08-12 20:15:53.8950,-0.24,-0.22,0.15
2020-08-12 20:15:53.9940,-0.12,0.19,-0.05
2020-08-12 20:15:54.0930,-0.16,0.58,-0.15
2020-08-12 20:15:54.1920,-0.08,0.74,-0.26
2020-08-12 20:15:54.2920,0.42,0.17,-0.0
2020-08-12 20:15:54.3910,0.33,-0.22,0.05
2020-08-12 20:15:54.4900,0.42,-0.31,0.15
2020-08-12 20:15:54.5890,-1.21,-0.26,0.25
2020-08-12 20:15:54.6880,-0.05,-0.02,0.23
2020-08-12 20:15:54.7880,-0.04,-0.03,0.01
2020-08-12 20:15:54.8870,0.06,-0.02,0.03
2020-08-12 20:15:54.9860,-0.04,0.03,0.05
2020-08-12 20:15:55.0860,0.01,-0.01,-0.01
2020-08-12 20:15:55.1840,-0.01,0.01,0.02
2020-08-12 20:15:55.2830,0.0,0.01,0.0
2020-08-12 20:15:55.3840,-0.05,-0.03,0.04
2020-08-12 20:15:55.4820,-0.12,-0.01,0.02
2020-08-12 20:15:55.5810,-0.39,-0.39,-0.11
2020-08-12 20:15:55.6810,0.07,-0.44,0.17
2020-08-12 20:15:55.7800,-0.26,-0.24,0.07
2020-08-12 20:15:55.8790,0.03,-0.02,-0.02
2020-08-12 20:15:55.9790,-0.25,0.71,-0.3
2020-08-12 20:15:56.0770,-0.11,0.79,-0.27
2020-08-12 20:15:56.1770,0.35,0.17,-0.11
2020-08-12 20:15:56.2770,0.39,-0.29,0.1
2020-08-12 20:15:56.3760,0.41,-0.27,-0.02
2020-08-12 20:15:56.4750,-0.89,-0.48,0.23
2020-08-12 20:15:56.5740,-0.04,-0.2,0.31
2020-08-12 20:15:56.6740,-0.0,0.02,0.05
2020-08-12 20:15:56.7720,-0.01,0.01,0.03
2020-08-12 20:15:56.8720,0.03,-0.03,-0.0
2020-08-12 20:15:56.9720,0.07,-0.02,-0.02
2020-08-12 20:15:57.0700,0.01,0.0,0.02
2020-08-12 20:15:57.1700,-0.0,0.04,0.01
2020-08-12 20:15:57.2690,0.03,-0.01,0.0
2020-08-12 20:15:57.3690,-0.14,-0.08,-0.05
2020-08-12 20:15:57.4680,-0.37,-0.29,-0.06
2020-08-12 20:15:57.5660,-0.09,-0.49,0.17
2020-08-12 20:15:57.6650,-0.34,-0.34,0.23
2020-08-12 20:15:57.7650,0.01,-0.07,-0.01
2020-08-12 20:15:57.8640,-0.3,0.77,-0.28
2020-08-12 20:15:57.9630,-0.19,0.8,-0.3
2020-08-12 20:15:58.0630,0.36,0.3,-0.14
2020-08-12 20:15:58.1630,0.35,-0.25,-0.06
2020-08-12 20:15:58.2620,0.35,-0.24,0.17
2020-08-12 20:15:58.3600,-0.84,0.13,0.34
2020-08-12 20:15:58.4600,0.47,-0.19,0.04
2020-08-12 20:15:58.5600,0.15,-0.07,-0.06
