time,ax,ay,az
2020-08-13 11:43:02.3760,0.0,-0.01,0.02
2020-08-13 11:43:02.4750,0.02,-0.01,-0.01
2020-08-13 11:43:02.5730,0.02,0.0,-0.03
2020-08-13 11:43:02.6730,-0.01,-0.0,0.01
2020-08-13 11:43:02.7720,-0.03,0.01,-0.01
2020-08-13 11:43:02.8710,0.02,0.0,0.01
2020-08-13 11:43:02.9700,-0.06,0.0,-0.0
2020-08-13 11:43:03.0710,-0.06,0.03,0.01
2020-08-13 11:43:03.1690,0.02,-0.01,-0.01
2020-08-13 11:43:03.2680,0.01,0.01,-0.0
2020-08-13 11:43:03.3670,0.03,-0.0,-0.01
2020-08-13 11:43:03.4670,-0.17,0.09,0.02
2020-08-13 11:43:03.5660,-0.06,0.02,0.04
2020-08-13 11:43:03.6650,-0.02,0.02,0.0
2020-08-13 11:43:03.7640,0.05,-0.04,-0.08
2020-08-13 11:43:03.8640,-0.0,0.0,0.0
2020-08-13 11:43:03.9630,0.04,0.03,0.04
2020-08-13 11:43:04.0620,0.05,0.03,-0.01
2020-08-13 11:43:04.1620,-0.01,-0.0,0.01
2020-08-13 11:43:04.2610,0.01,-0.01,-0.01
2020-08-13 11:43:04.3600,0.0,-0.01,0.03
2020-08-13 11:43:04.4590,0.01,0.0,-0.01
2020-08-13 11:43:04.5590,-0.02,0.02,0.0
2020-08-13 11:43:04.6580,-0.03,0.02,0.02
2020-08-13 11:43:04.7570,0.01,0.0,-0.01
2020-08-13 11:43:04.8560,-0.01,0.01,-0.0
2020-08-13 11:43:04.9560,-0.01,0.02,0.01
2020-08-13 11:43:05.0550,-0.0,-0.01,-0.01
2020-08-13 11:43:05.1540,-0.01,0.0,0.01
2020-08-13 11:43:05.2530,0.01,-0.0,-0.01
2020-08-13 11:43:05.3530,-0.03,-0.0,0.01
2020-08-13 11:43:05.4520,0.03,0.03,0.02
2020-08-13 11:43:05.5510,0.01,0.02,-0.02
2020-08-13 11:43:05.6500,-0.03,0.01,0.0
2020-08-13 11:43:05.7510,-0.01,0.03,-0.0
2020-08-13 11:43:05.8490,-0.01,0.01,0.01
2020-08-13 11:43:05.9480,-0.04,0.02,0.03
2020-08-13 11:43:06.0470,-0.03,-0.01,0.01
2020-08-13 11:43:06.1470,-0.0,-0.01,-0.01
2020-08-13 11:43:06.2460,0.02,-0.01,-0.03
2020-08-13 11:43:06.3450,0.03,0.01,-0.06
2020-08-13 11:43:06.4440,-0.02,0.01,-0.0
2020-08-13 11:43:06.5440,-0.01,0.0,-0.01
2020-08-13 11:43:06.6430,-0.05,-0.01,0.03
2020-08-13 11:43:06.7430,-0.1,-0.01,0.03
2020-08-13 11:43:06.8410,-0.01,-0.26,0.43
2020-08-13 11:43:06.9410,-0.81,0.13,0.13
2020-08-13 11:43:07.0400,-0.4,-0.01,-0.08
2020-08-13 11:43:07.1400,0.06,-0.15,-0.04
2020-08-13 11:43:07.2380,0.28,-0.05,-0.01
2020-08-13 11:43:07.3380,0.48,-0.01,-0.03
2020-08-13 11:43:07.4370,0.43,0.05,0.0
2020-08-13 11:43:07.5370,-0.78,-0.14,-0.18
2020-08-13 11:43:07.6350,0.43,-0.13,0.29
2020-08-13 11:43:07.7350,-0.03,0.01,0.01
2020-08-13 11:43:07.8340,-0.05,0.03,0.06
2020-08-13 11:43:07.9340,-0.03,0.01,0.03
2020-08-13 11:43:08.0320,0.0,0.01,-0.05
2020-08-13 11:43:08.1320,0.08,-0.03,-0.14
2020-08-13 11:43:08.2310,-0.03,0.04,0.07
2020-08-13 11:43:08.3310,-0.11,-0.03,0.0
2020-08-13 11:43:08.4290,-0.09,-0.08,0.05
2020-08-13 11:43:08.5290,-0.2,-0.38,0.01
2020-08-13 11:43:08.6280,-0.59,-0.37,0.21
2020-08-13 11:43:08.7280,-0.23,-0.04,0.09
2020-08-13 11:43:08.8260,-0.8,0.27,0.13
2020-08-13 11:43:08.9260,-0.34,-0.08,-0.04
2020-08-13 11:43:09.0250,0.04,-0.29,0.03
2020-08-13 11:43:09.1250,0.37,-0.38,-0.02
2020-08-13 11:43:09.2240,0.56,-0.13,-0.09
2020-08-13 11:43:09.3230,0.88,0.01,0.08
2020-08-13 11:43:09.4220,-0.61,-0.28,-0.16
2020-08-13 11:43:09.5220,0.39,-0.3,-0.03
2020-08-13 11:43:09.6210,-0.21,-0.01,-0.06
2020-08-13 11:43:09.7200,-0.19,0.05,0.05
2020-08-13 11:43:09.8190,-0.01,0.0,0.03
2020-08-13 11:43:09.9190,-0.1,0.08,0.08
2020-08-13 11:43:10.0170,0.07,-0.09,-0.1
2020-08-13 11:43:10.1170,-0.01,-0.03,-0.02
2020-08-13 11:43:10.2160,-0.09,-0.05,0.07
2020-08-13 11:43:10.3160,-0.08,-0.18,0.02
2020-08-13 11:43:10.4150,-0.32,-0.47,0.04
2020-08-13 11:43:10.5140,-0.3,-0.22,0.61
2020-08-13 11:43:10.6130,-0.87,0.09,0.3
2020-08-13 11:43:10.7130,-0.63,0.22,0.13
2020-08-13 11:43:10.8120,-0.08,-0.18,0.0
2020-08-13 11:43:10.9110,0.18,-0.4,-0.0
2020-08-13 11:43:11.0100,0.51,-0.4,-0.16
2020-08-13 11:43:11.1100,1.02,-0.11,-0.12
2020-08-13 11:43:11.2090,0.83,-0.01,0.09
2020-08-13 11:43:11.3090,0.38,-0.28,-0.2
2020-08-13 11:43:11.4070,-0.17,0.08,0.06
2020-08-13 11:43:11.5070,-0.02,0.01,0.05
2020-08-13 11:43:11.6060,0.02,-0.03,-0.04
2020-08-13 11:43:11.7050,-0.04,0.05,0.04
2020-08-13 11:43:11.8040,0.01,-0.03,-0.05
2020-08-13 11:43:11.9040,-0.06,0.01,0.02
2020-08-13 11:43:12.0030,-0.05,-0.04,-0.03
2020-08-13 11:43:12.1030,-0.1,-0.08,0.04
2020-08-13 11:43:12.2010,-0.22,-0.24,0.1
2020-08-13 11:43:12.3010,-0.44,-0.5,0.14
2020-08-13 11:43:12.4000,-0.12,-0.03,0.25
2020-08-13 11:43:12.5000,-0.66,0.19,0.11
2020-08-13 11:43:12.5980,-0.22,-0.05,-0.1
2020-08-13 11:43:12.6980,0.18,-0.41,0.03
2020-08-13 11:43:12.7970,0.53,-0.27,-0.01
2020-08-13 11:43:12.8970,0.59,-0.12,-0.04
2020-08-13 11:43:12.9950,0.88,-0.03,-0.04
2020-08-13 11:43:13.0950,-0.99,-0.15,-0.27
2020-08-13 11:43:13.1940,0.43,-0.3,-0.13
2020-08-13 11:43:13.2940,0.13,-0.13,-0.18
2020-08-13 11:43:13.3920,-0.01,0.04,0.07
2020-08-13 11:43:13.4920,-0.07,0.08,0.05
2020-08-13 11:43:13.5910,0.05,-0.05,-0.11
2020-08-13 11:43:13.6910,-0.04,-0.0,0.02
2020-08-13 11:43:13.7890,-0.07,0.01,0.02
2020-08-13 11:43:13.8890,-0.03,0.0,-0.01
2020-08-13 11:43:13.9880,-0.06,-0.12,-0.07
2020-08-13 11:43:14.0880,-0.22,-0.42,0.08
2020-08-13 11:43:14.1860,-0.39,-0.33,0.27
2020-08-13 11:43:14.2860,-0.14,-0.07,0.19
2020-08-13 11:43:14.3850,-0.58,0.14,0.06
2020-08-13 11:43:14.4860,-0.16,-0.12,0.04
2020-08-13 11:43:14.5830,0.08,-0.21,-0.02
2020-08-13 11:43:14.6840,0.43,-0.34,-0.03
2020-08-13 11:43:14.7820,0.64,-0.14,-0.09
2020-08-13 11:43:14.8820,0.77,0.01,-0.06
2020-08-13 11:43:14.9800,-1.21,-0.17,-0.09
2020-08-13 11:43:15.0800,0.09,-0.18,0.12
2020-08-13 11:43:15.1790,-0.04,0.0,-0.08
2020-08-13 11:43:15.2790,-0.03,0.03,0.03
2020-08-13 11:43:15.3780,-0.09,0.05,0.1
2020-08-13 11:43:15.4770,-0.05,-0.02,-0.04
2020-08-13 11:43:15.5760,-0.02,-0.03,0.01
2020-08-13 11:43:15.6760,-0.08,0.01,0.03
2020-08-13 11:43:15.7750,-0.03,-0.03,0.01
2020-08-13 11:43:15.8740,-0.05,-0.09,-0.04
2020-08-13 11:43:15.9730,-0.3,-0.4,0.09
2020-08-13 11:43:16.0730,-0.61,-0.44,0.24
2020-08-13 11:43:16.1720,-0.11,-0.0,0.27
2020-08-13 11:43:16.2710,-0.54,0.26,0.11
2020-08-13 11:43:16.3700,-0.37,0.01,0.02
2020-08-13 11:43:16.4700,0.15,-0.37,0.08
2020-08-13 11:43:16.5690,0.37,-0.33,0.01
2020-08-13 11:43:16.6680,0.6,-0.2,0.03
2020-08-13 11:43:16.7670,0.74,-0.03,-0.07
2020-08-13 11:43:16.8670,-0.8,-0.34,0.21
2020-08-13 11:43:16.9660,0.46,-0.21,0.45
2020-08-13 11:43:17.0660,-0.3,0.08,0.11
2020-08-13 11:43:17.1640,0.03,-0.01,-0.06
2020-08-13 11:43:17.2640,-0.0,0.0,0.07
2020-08-13 11:43:17.3630,-0.06,0.08,0.07
2020-08-13 11:43:17.4620,0.03,-0.04,-0.06
2020-08-13 11:43:17.5610,-0.03,-0.02,0.03
2020-08-13 11:43:17.6610,-0.0,-0.08,-0.05
2020-08-13 11:43:17.7600,-0.05,-0.14,-0.02
2020-08-13 11:43:17.8600,-0.4,-0.49,0.1
2020-08-13 11:43:17.9580,-0.31,-0.27,0.18
2020-08-13 11:43:18.0590,-0.53,0.04,0.1
2020-08-13 11:43:18.1570,-0.49,0.19,0.09
2020-08-13 11:43:18.2560,-0.08,-0.23,0.04
2020-08-13 11:43:18.3550,0.1,-0.27,-0.02
2020-08-13 11:43:18.4550,0.35,-0.27,-0.04
2020-08-13 11:43:18.5540,0.62,-0.07,-0.04
2020-08-13 11:43:18.6540,0.81,-0.03,0.01
2020-08-13 11:43:18.7520,-0.19,-0.32,-0.07
2020-08-13 11:43:18.8520,0.58,0.05,0.11
2020-08-13 11:43:18.9510,0.2,0.0,-0.06
2020-08-13 11:43:19.0510,0.02,0.0,0.0
2020-08-13 11:43:19.1490,-0.03,0.0,0.07
2020-08-13 11:43:19.2490,0.06,-0.03,-0.13
2020-08-13 11:43:19.3480,-0.05,-0.01,-0.01
2020-08-13 11:43:19.4480,-0.06,-0.03,-0.01
2020-08-13 11:43:19.5460,-0.07,-0.05,0.03
2020-08-13 11:43:19.6460,-0.12,-0.25,0.0
2020-08-13 11:43:19.7450,-0.45,-0.73,0.05
2020-08-13 11:43:19.8440,-0.28,-0.02,0.35
2020-08-13 11:43:19.9440,-0.94,0.24,0.15
2020-08-13 11:43:20.0430,-0.49,0.23,0.08
2020-08-13 11:43:20.1420,0.08,-0.2,0.01
2020-08-13 11:43:20.2410,0.26,-0.21,0.0
2020-08-13 11:43:20.3410,0.45,-0.24,-0.06
2020-08-13 11:43:20.4400,0.66,-0.07,-0.04
2020-08-13 11:43:20.5400,0.79,0.02,-0.09
2020-08-13 11:43:20.6380,0.26,-0.32,-0.43
2020-08-13 11:43:20.7380,0.18,0.08,-0.06
2020-08-13 11:43:20.8370,0.21,-0.07,-0.02
2020-08-13 11:43:20.9360,0.06,-0.03,-0.04
2020-08-13 11:43:21.0350,-0.02,0.03,0.02
2020-08-13 11:43:21.1350,0.05,-0.01,-0.04
2020-08-13 11:43:21.2340,-0.05,0.09,0.07
2020-08-13 11:43:21.3340,0.04,-0.09,-0.08
2020-08-13 11:43:21.4320,-0.05,-0.11,0.02
2020-08-13 11:43:21.5320,-0.12,-0.12,-0.04
2020-08-13 11:43:21.6310,-0.38,-0.7,-0.02
2020-08-13 11:43:21.7300,-0.03,-0.19,0.13
2020-08-13 11:43:21.8290,-0.83,0.27,0.21
2020-08-13 11:43:21.9290,-0.42,0.22,0.09
2020-08-13 11:43:22.0280,-0.1,-0.25,0.02
2020-08-13 11:43:22.1280,0.3,-0.36,0.03
2020-08-13 11:43:22.2260,0.5,-0.22,-0.02
2020-08-13 11:43:22.3260,0.82,-0.12,-0.03
2020-08-13 11:43:22.4250,0.56,-0.24,0.34
2020-08-13 11:43:22.5250,0.35,-0.11,-0.1
2020-08-13 11:43:22.6230,-0.2,0.04,-0.04
2020-08-13 11:43:22.7230,-0.11,0.02,0.01
2020-08-13 11:43:22.8220,-0.0,0.02,-0.0
2020-08-13 11:43:22.9210,-0.02,-0.01,-0.01
2020-08-13 11:43:23.0210,0.0,0.02,0.02
2020-08-13 11:43:23.1200,-0.05,0.01,0.01
2020-08-13 11:43:23.2200,0.02,-0.06,-0.09
2020-08-13 11:43:23.3180,-0.1,-0.08,0.07
2020-08-13 11:43:23.4180,-0.15,-0.33,0.02
2020-08-13 11:43:23.5170,-0.3,-0.29,-0.17
2020-08-13 11:43:23.6160,-0.09,-0.2,0.08
2020-08-13 11:43:23.7150,-0.89,0.21,0.14
2020-08-13 11:43:23.8150,-0.62,0.18,0.08
2020-08-13 11:43:23.9140,-0.03,-0.24,0.03
2020-08-13 11:43:24.0130,0.23,-0.29,0.03
2020-08-13 11:43:24.1120,0.61,-0.2,-0.05
2020-08-13 11:43:24.2120,0.83,-0.05,-0.1
2020-08-13 11:43:24.3110,-1.13,-0.2,-0.04
2020-08-13 11:43:24.4100,0.15,-0.05,0.13
2020-08-13 11:43:24.5100,-0.24,0.02,0.01
