time,ax,ay,az
2020-08-13 11:51:58.4830,-0.03,0.01,0.03
2020-08-13 11:51:58.5780,-0.04,0.0,-0.0
2020-08-13 11:51:58.6780,-0.02,0.02,-0.01
2020-08-13 11:51:58.7760,-0.02,-0.01,0.03
2020-08-13 11:51:58.8760,0.03,0.01,-0.02
2020-08-13 11:51:58.9750,0.05,-0.0,0.01
2020-08-13 11:51:59.0750,0.04,0.0,-0.01
2020-08-13 11:51:59.1730,0.01,0.0,-0.04
2020-08-13 11:51:59.2730,-0.08,0.03,-0.03
2020-08-13 11:51:59.3720,-0.01,0.01,-0.07
2020-08-13 11:51:59.4720,0.06,-0.03,-0.06
2020-08-13 11:51:59.5700,-0.16,-0.03,0.11
2020-08-13 11:51:59.6700,0.02,0.03,-0.06
2020-08-13 11:51:59.7690,0.03,-0.02,0.02
2020-08-13 11:51:59.8680,0.0,-0.01,-0.0
2020-08-13 11:51:59.9670,-0.0,-0.03,-0.03
2020-08-13 11:52:00.0670,0.04,0.01,0.01
2020-08-13 11:52:00.1660,-0.0,0.01,-0.01
2020-08-13 11:52:00.2660,0.01,-0.0,-0.01
2020-08-13 11:52:00.3640,0.01,0.0,-0.02
2020-08-13 11:52:00.4640,-0.01,0.01,0.01
2020-08-13 11:52:00.5630,-0.01,-0.0,-0.01
2020-08-13 11:52:00.6620,-0.01,0.01,-0.0
2020-08-13 11:52:00.7620,0.0,-0.01,0.02
2020-08-13 11:52:00.8610,0.02,0.01,0.01
2020-08-13 11:52:00.9600,0.01,0.01,-0.02
2020-08-13 11:52:01.0600,-0.05,0.0,0.05
2020-08-13 11:52:01.1590,-0.0,0.06,0.02
2020-08-13 11:52:01.2580,0.02,-0.04,-0.09
2020-08-13 11:52:01.3570,0.05,-0.0,-0.03
2020-08-13 11:52:01.4560,0.02,-0.02,0.03
2020-08-13 11:52:01.5550,0.01,-0.0,0.01
2020-08-13 11:52:01.6560,0.03,-0.02,-0.04
2020-08-13 11:52:01.7540,-0.03,-0.0,0.02
2020-08-13 11:52:01.8540,-0.09,0.02,-0.01
