time,ax,ay,az
2020-08-12 19:22:08.8740,-0.08,-0.03,0.09
2020-08-12 19:22:08.9740,0.06,-0.02,-0.03
2020-08-12 19:22:09.0730,0.01,-0.02,-0.01
2020-08-12 19:22:09.1720,-0.01,0.0,-0.01
2020-08-12 19:22:09.2710,-0.0,0.01,-0.0
2020-08-12 19:22:09.3710,0.02,-0.0,-0.01
2020-08-12 19:22:09.4700,-0.01,0.01,-0.0
2020-08-12 19:22:09.5690,0.01,0.0,-0.01
2020-08-12 19:22:09.6680,-0.0,0.0,-0.02
2020-08-12 19:22:09.7680,-0.02,-0.0,0.01
2020-08-12 19:22:09.8670,0.02,-0.01,-0.01
2020-08-12 19:22:09.9660,0.02,0.0,0.0
2020-08-12 19:22:10.0660,0.18,-0.06,0.02
2020-08-12 19:22:10.1650,0.11,-0.2,0.1
2020-08-12 19:22:10.2640,0.07,-0.05,0.13
2020-08-12 19:22:10.3630,0.6,0.32,-0.06
2020-08-12 19:22:10.4630,0.15,-0.07,-0.13
2020-08-12 19:22:10.5620,-0.26,-0.16,-0.08
2020-08-12 19:22:10.6610,-1.06,-0.2,-0.21
2020-08-12 19:22:10.7610,-0.08,0.08,-0.17
2020-08-12 19:22:10.8600,-0.02,-0.01,0.03
2020-08-12 19:22:10.9590,-0.06,0.01,-0.02
2020-08-12 19:22:11.0580,0.01,-0.01,0.02
2020-08-12 19:22:11.1580,0.08,-0.03,-0.01
2020-08-12 19:22:11.2570,0.03,-0.03,-0.0
2020-08-12 19:22:11.3560,0.04,-0.02,0.03
2020-08-12 19:22:11.4550,0.06,-0.11,0.02
2020-08-12 19:22:11.5550,0.23,-0.22,0.05
2020-08-12 19:22:11.6540,0.42,-0.48,0.16
2020-08-12 19:22:11.7530,0.69,-0.26,0.37
2020-08-12 19:22:11.8520,0.74,0.22,-0.03
2020-08-12 19:22:11.9520,0.33,0.13,-0.01
2020-08-12 19:22:12.0510,-0.06,-0.1,-0.09
2020-08-12 19:22:12.1500,-0.82,-0.56,-0.15
2020-08-12 19:22:12.2500,-1.28,-0.1,0.24
2020-08-12 19:22:12.3490,-0.28,0.24,-0.22
2020-08-12 19:22:12.4480,0.03,-0.01,0.09
2020-08-12 19:22:12.5470,-0.04,0.03,0.08
2020-08-12 19:22:12.6470,-0.03,-0.02,-0.24
2020-08-12 19:22:12.7460,-0.03,-0.01,-0.05
2020-08-12 19:22:12.8450,-0.02,-0.01,0.03
2020-08-12 19:22:12.9440,0.15,-0.04,0.01
2020-08-12 19:22:13.0440,0.14,-0.16,0.01
2020-08-12 19:22:13.1430,0.22,-0.36,0.06
2020-08-12 19:22:13.2420,0.49,-0.33,0.18
2020-08-12 19:22:13.3420,0.53,-0.01,0.21
2020-08-12 19:22:13.4410,0.5,0.22,-0.11
2020-08-12 19:22:13.5400,0.17,-0.01,0.01
2020-08-12 19:22:13.6390,0.05,-0.27,-0.14
2020-08-12 19:22:13.7390,-1.19,-0.36,0.45
2020-08-12 19:22:13.8380,-1.12,-0.1,0.03
2020-08-12 19:22:13.9370,-0.83,-0.22,0.28
2020-08-12 19:22:14.0370,0.02,-0.06,-0.08
2020-08-12 19:22:14.1350,-0.12,0.03,0.05
2020-08-12 19:22:14.2350,-0.05,0.02,0.04
2020-08-12 19:22:14.3340,0.09,-0.03,-0.01
2020-08-12 19:22:14.4330,0.05,-0.03,-0.0
2020-08-12 19:22:14.5330,0.05,-0.02,-0.02
2020-08-12 19:22:14.6320,0.14,-0.13,0.03
2020-08-12 19:22:14.7310,0.34,-0.43,0.05
2020-08-12 19:22:14.8300,0.4,-0.49,0.05
